date	deal_val	change_val	change_rate	buy_val	sell_val	deposit_val	withdraw_val	international_val	usd_rate
20150527	42210.68	-313.00	-0.73606	44321.21	40100.15	42632.78	41788.58	1188.80	1104.50
20150602	42495.17	30.60	0.07206	44619.92	40370.42	42920.12	42070.22	1187.14	1113.50
20150605	42054.26	-194.07	-0.45936	44156.97	39951.55	42474.80	41633.72	1175.35	1113.00
20150608	42402.24	347.98	0.82745	44522.35	40282.13	42826.26	41978.22	1174.00	1123.50
20150611	42282.35	32.75	0.07752	44396.46	40168.24	42705.17	41859.53	1183.32	1111.50
20150617	42466.44	-106.25	-0.24957	44589.76	40343.12	42891.10	42041.78	1179.98	1119.50
20150623	42047.90	-271.72	-0.64207	44150.29	39945.51	42468.37	41627.43	1183.68	1105.00
20150626	42424.93	439.91	1.04778	44546.17	40303.69	42849.17	42000.69	1178.30	1120.00
20150629	42568.40	143.47	0.33817	44696.82	40439.98	42994.08	42142.72	1178.60	1123.50
20150701	42246.55	14.32	0.03391	44358.87	40134.23	42669.01	41824.09	1172.82	1120.50
20150707	42535.83	386.72	0.91750	44662.62	40409.04	42961.18	42110.48	1167.31	1133.50
20150710	42232.91	-202.84	-0.47799	44344.55	40121.27	42655.23	41810.59	1163.10	1129.50
20150713	42030.93	-201.98	-0.47825	44132.47	39929.39	42451.23	41610.63	1154.98	1132.00
20150716	42282.45	-220.62	-0.51907	44396.57	40168.33	42705.27	41859.63	1145.70	1148.00
20150722	40603.26	-542.00	-1.31728	42633.42	38573.10	41009.29	40197.23	1094.48	1154.00
20150728	41092.65	-293.09	-0.70819	43147.28	39038.02	41503.57	40681.73	1095.80	1166.50
20150731	40770.13	-87.11	-0.21321	42808.63	38731.63	41177.83	40362.43	1082.10	1172.00
20150803	41047.08	276.95	0.67930	43099.43	38994.73	41457.55	40636.61	1093.65	1167.50
20150806	40784.19	-166.08	-0.40557	42823.39	38744.99	41192.03	40376.35	1085.25	1169.00
20150812	42504.53	316.61	0.75048	44629.75	40379.31	42929.57	42079.49	1116.70	1184.00
20150818	42590.37	63.78	0.14998	44719.88	40460.86	43016.27	42164.47	1119.90	1183.00
20150821	44236.48	713.18	1.63862	46448.30	42024.66	44678.84	43794.12	1152.95	1193.50
20150824	44693.42	456.94	1.03295	46928.09	42458.75	45140.35	44246.49	1155.18	1203.50
20150827	42732.95	-750.82	-1.72667	44869.59	40596.31	43160.27	42305.63	1125.55	1181.00
20150902	43429.48	233.46	0.54047	45600.95	41258.01	43863.77	42995.19	1141.00	1184.00
20150908	43192.66	-254.98	-0.58687	45352.29	41033.03	43624.58	42760.74	1120.58	1199.00
20150911	42228.72	-73.82	-0.17450	44340.15	40117.29	42651.00	41806.44	1107.58	1186.00
20150914	42101.02	-127.70	-0.30240	44206.07	39995.97	42522.03	41680.01	1107.50	1182.50
20150917	42013.63	164.48	0.39303	44114.31	39912.95	42433.76	41593.50	1119.88	1167.00
20150923	43135.98	-8.95	-0.02074	45292.77	40979.19	43567.33	42704.63	1127.10	1190.50
20151001	42156.97	-576.11	-1.34816	44264.81	40049.13	42578.53	41735.41	1113.68	1177.50
20151007	42782.83	73.57	0.17226	44921.97	40643.69	43210.65	42355.01	1148.75	1158.50
20151013	42765.81	-58.91	-0.13756	44904.10	40627.52	43193.46	42338.16	1156.28	1150.50
20151016	42860.94	-83.94	-0.19546	45003.98	40717.90	43289.54	42432.34	1176.75	1133.00
20151019	42429.94	-431.00	-1.00558	44551.43	40308.45	42854.23	42005.65	1173.20	1125.00
20151022	42697.08	-294.37	-0.68472	44831.93	40562.23	43124.05	42270.11	1167.10	1138.00
20151028	42667.05	174.71	0.41116	44800.40	40533.70	43093.72	42240.38	1172.98	1131.50
20151103	41371.28	-407.58	-0.97557	43439.84	39302.72	41784.99	40957.57	1135.35	1133.50
20151106	40720.19	86.90	0.21386	42756.19	38684.19	41127.39	40312.99	1108.68	1142.50
20151109	40772.46	52.27	0.12836	42811.08	38733.84	41180.18	40364.74	1094.30	1159.00
20151112	40542.27	33.26	0.08211	42569.38	38515.16	40947.69	40136.85	1087.65	1159.50
20151118	40370.01	-304.13	-0.74772	42388.51	38351.51	40773.71	39966.31	1071.48	1172.00
20151124	39904.60	-91.97	-0.22994	41899.83	37909.37	40303.64	39505.56	1075.18	1154.50
20151127	39693.74	105.30	0.26599	41678.42	37709.06	40090.67	39296.81	1067.65	1156.50
20151130	39365.71	-328.03	-0.82640	41333.99	37397.43	39759.36	38972.06	1057.00	1158.50
20151202	39953.89	119.80	0.30075	41951.58	37956.20	40353.42	39554.36	1068.18	1163.50
20151208	40647.30	-68.73	-0.16880	42679.66	38614.94	41053.77	40240.83	1073.80	1177.50
20151211	40616.48	-143.94	-0.35314	42647.30	38585.66	41022.64	40210.32	1068.90	1182.00
20151214	40673.91	57.43	0.14140	42707.60	38640.22	41080.64	40267.18	1067.25	1185.50
20151217	40504.09	112.06	0.27743	42529.29	38478.89	40909.13	40099.05	1067.75	1180.00
20151223	40495.60	-144.20	-0.35482	42520.38	38470.82	40900.55	40090.65	1070.70	1176.50
20151229	40308.06	65.56	0.16291	42323.46	38292.66	40711.14	39904.98	1072.58	1169.00
20160106	41793.96	599.31	1.45482	43883.65	39704.27	42211.89	41376.03	1083.39	1200.00
20160112	42738.44	44.56	0.10437	44875.36	40601.52	43165.82	42311.06	1096.45	1212.50
20160115	42355.68	-265.80	-0.62363	44473.46	40237.90	42779.23	41932.13	1083.95	1215.50
20160118	42391.54	35.86	0.08466	44511.11	40271.97	42815.45	41967.63	1088.90	1211.00
20160121	42942.61	102.35	0.23891	45089.74	40795.48	43372.03	42513.19	1100.78	1213.50
20160127	43217.65	73.18	0.16962	45378.53	41056.77	43649.82	42785.48	1117.50	1203.00
20160202	43763.50	386.08	0.89005	45951.67	41575.33	44201.13	43325.87	1126.00	1209.00
20160205	44507.96	362.46	0.82106	46733.35	42282.57	44953.03	44062.89	1156.15	1197.50
20160211	47058.03	2550.07	5.72947	49410.93	44705.13	47528.61	46587.45	1217.31	1202.50
20160217	47530.89	468.77	0.99607	49907.43	45154.35	48006.19	47055.59	1204.50	1227.50
20160223	48201.97	261.13	0.54469	50612.06	45791.88	48683.98	47719.96	1216.55	1232.50
20160226	48940.67	-479.80	-0.97085	51387.70	46493.64	49430.07	48451.27	1230.70	1237.00
20160229	49056.04	115.37	0.23573	51508.84	46603.24	49546.60	48565.48	1234.10	1236.50
20160304	49393.19	853.05	1.75741	51862.84	46923.54	49887.12	48899.26	1271.90	1208.00
20160307	49136.18	-257.01	-0.52033	51592.98	46679.38	49627.54	48644.82	1267.38	1206.00
20160310	48288.91	-815.56	-1.66087	50703.35	45874.47	48771.79	47806.03	1249.67	1202.00
20160316	47280.01	-19.84	-0.04195	49644.01	44916.01	47752.81	46807.21	1231.76	1194.00
20160322	46734.73	345.14	0.74400	49071.46	44398.00	47202.07	46267.39	1252.70	1160.50
20160325	45754.96	75.53	0.16535	48042.70	43467.22	46212.50	45297.42	1216.48	1170.00
20160328	45598.25	-156.71	-0.34250	47878.16	43318.34	46054.23	45142.27	1215.95	1166.50
20160331	45247.63	-462.27	-1.01131	47510.01	42985.25	45700.10	44795.16	1234.65	1140.00
20160406	45789.38	-197.31	-0.42906	48078.84	43499.92	46247.27	45331.49	1226.83	1161.00
20160412	46405.02	376.39	0.81773	48725.27	44084.77	46869.07	45940.97	1260.70	1145.00
20160415	45426.28	-685.45	-1.48650	47697.59	43154.97	45880.54	44972.02	1230.35	1148.50
20160418	45650.67	224.39	0.49397	47933.20	43368.14	46107.17	45194.17	1235.35	1149.50
20160421	45925.07	431.82	0.94920	48221.32	43628.82	46384.32	45465.82	1258.10	1135.50
20160427	46070.01	409.49	0.89681	48373.51	43766.51	46530.71	45609.31	1246.70	1149.50
20160502	47433.05	605.52	1.29309	49804.70	45061.40	47907.38	46958.72	1294.85	1139.50
20160511	47886.05	187.88	0.39389	50280.35	45491.75	48364.91	47407.19	1272.05	1171.00
20160517	48019.06	-516.78	-1.06474	50420.01	45618.11	48499.25	47538.87	1270.70	1175.50
20160520	48142.08	39.16	0.08141	50549.18	45734.98	48623.50	47660.66	1256.85	1191.50
20160523	47626.10	-515.98	-1.07179	50007.40	45244.80	48102.36	47149.84	1250.20	1185.00
20160526	46676.80	143.38	0.30812	49010.64	44342.96	47143.56	46210.04	1227.35	1183.00
20160601	46653.68	265.06	0.57139	48986.36	44321.00	47120.21	46187.15	1215.95	1193.50
20160607	46298.85	71.77	0.15526	48613.79	43983.91	46761.83	45835.87	1241.55	1160.00
20160610	47511.30	599.91	1.27882	49886.86	45135.74	47986.41	47036.19	1265.88	1167.50
20160613	48452.15	940.85	1.98027	50874.75	46029.55	48936.67	47967.63	1283.80	1174.00
20160616	49362.00	945.82	1.95352	51830.10	46893.90	49855.62	48868.38	1307.35	1174.50
20160622	47073.87	-493.55	-1.03758	49427.56	44720.18	47544.60	46603.14	1267.80	1155.00
20160628	49506.35	-805.26	-1.60055	51981.66	47031.04	50001.41	49011.29	1312.85	1173.00
20160706	51301.11	1227.34	2.45106	53866.16	48736.06	51814.12	50788.10	1369.20	1165.50
20160712	50027.08	-124.82	-0.24888	52528.43	47525.73	50527.35	49526.81	1355.55	1148.00
20160715	48632.72	149.94	0.30926	51064.35	46201.09	49119.04	48146.40	1333.45	1134.50
20160718	48561.95	-70.77	-0.14552	50990.04	46133.86	49047.56	48076.34	1328.58	1137.00
20160721	48302.03	-412.84	-0.84746	50717.13	45886.93	48785.05	47819.01	1321.47	1137.00
20160727	48192.32	-205.23	-0.42405	50601.93	45782.71	48674.24	47710.40	1320.21	1135.50
20160802	48508.55	495.52	1.03205	50933.97	46083.13	48993.63	48023.47	1359.40	1110.00
20160805	48617.33	199.55	0.41214	51048.19	46186.47	49103.50	48131.16	1362.45	1110.00
20160808	47470.08	-1147.25	-2.35976	49843.58	45096.58	47944.78	46995.38	1331.50	1109.00
20160811	47586.33	-55.32	-0.11612	49965.64	45207.02	48062.19	47110.47	1345.68	1100.00
20160817	48031.29	567.09	1.19477	50432.85	45629.73	48511.60	47550.98	1342.40	1113.00
20160823	48126.77	-176.04	-0.36445	50533.10	45720.44	48608.03	47645.51	1339.05	1118.00
20160826	47538.70	-99.67	-0.20922	49915.63	45161.77	48014.08	47063.32	1325.06	1116.00
20160829	47665.72	127.02	0.26719	50049.00	45282.44	48142.37	47189.07	1319.73	1123.50
20160901	47145.79	-0.42	-0.00089	49503.07	44788.51	47617.24	46674.34	1306.50	1122.50
20160907	47368.78	51.51	0.10886	49737.21	45000.35	47842.46	46895.10	1349.34	1092.00
20160913	47902.01	213.32	0.44732	50297.11	45506.91	48381.03	47422.99	1329.23	1121.00
20160919	47390.78	-511.23	-1.06724	49760.31	45021.25	47864.68	46916.88	1316.22	1120.00
20160922	47341.52	-91.20	-0.19227	49708.59	44974.45	47814.93	46868.11	1332.70	1105.00
20160928	46769.63	-432.45	-0.91617	49108.11	44431.15	47237.32	46301.94	1324.39	1098.50
20161006	45291.31	-264.49	-0.58058	47555.87	43026.75	45744.22	44838.40	1265.82	1113.00
20161012	45415.46	19.08	0.04203	47686.23	43144.69	45869.61	44961.31	1255.75	1125.00
20161018	45757.78	-189.83	-0.41314	48045.66	43469.90	46215.35	45300.21	1262.41	1127.50
20161021	46287.99	263.33	0.57215	48602.38	43973.60	46750.86	45825.12	1264.70	1138.50
20161024	46094.68	-193.31	-0.41762	48399.41	43789.95	46555.62	45633.74	1266.09	1132.50
20161027	46649.12	156.80	0.33726	48981.57	44316.67	47115.61	46182.63	1268.44	1144.00
20161102	47846.16	871.82	1.85595	50238.46	45453.86	48324.62	47367.70	1297.02	1147.50
20161108	46924.07	-311.63	-0.65973	49270.27	44577.87	47393.31	46454.83	1284.90	1136.00
20161111	47136.63	-594.96	-1.24647	49493.46	44779.80	47607.99	46665.27	1255.36	1168.00
20161114	46214.92	-921.71	-1.95540	48525.66	43904.18	46677.06	45752.78	1221.92	1176.50
20161117	46447.99	101.76	0.21956	48770.38	44125.60	46912.46	45983.52	1229.65	1175.00
20161123	45795.27	-279.57	-0.60677	48085.03	43505.51	46253.22	45337.32	1212.37	1175.00
20161129	44752.11	-182.91	-0.40705	46989.71	42514.51	45199.63	44304.59	1188.80	1171.00
20161201	43945.83	-746.65	-1.67064	46143.12	41748.54	44385.28	43506.38	1168.88	1169.50
20161207	43975.43	-157.45	-0.35676	46174.20	41776.66	44415.18	43535.68	1171.17	1168.00
20161213	43486.69	88.26	0.20337	45661.02	41312.36	43921.55	43051.83	1158.65	1167.50
20161216	43243.83	50.52	0.11696	45406.02	41081.64	43676.26	42811.40	1133.25	1187.00
20161219	43565.55	321.72	0.74397	45743.82	41387.28	44001.20	43129.90	1139.76	1189.00
20161222	43755.97	186.69	0.42849	45943.76	41568.18	44193.52	43318.42	1131.89	1202.50
20161228	44429.65	-24.78	-0.05574	46651.13	42208.17	44873.94	43985.36	1141.25	1211.00
20170102	44779.91	-60.54	-0.13501	47018.90	42540.92	45227.70	44332.12	1152.15	1209.00
20170105	44862.04	-163.83	-0.36386	47105.14	42618.94	45310.66	44413.42	1173.68	1189.00
20170111	45769.01	91.90	0.20119	48057.46	43480.56	46226.70	45311.32	1190.40	1196.00
20170117	45623.33	-171.94	-0.37545	47904.49	43342.17	46079.56	45167.10	1212.98	1170.00
20170120	45417.86	-157.66	-0.34593	47688.75	43146.97	45872.03	44963.69	1202.38	1175.00
20170123	45551.25	133.39	0.29370	47828.81	43273.69	46006.76	45095.74	1212.10	1169.00
20170126	44763.23	-334.20	-0.74106	47001.39	42525.07	45210.86	44315.60	1197.79	1162.50
20170201	45044.00	226.10	0.50449	47296.20	42791.80	45494.44	44593.56	1212.08	1156.00
20170207	45416.73	674.53	1.50759	47687.56	43145.90	45870.89	44962.57	1231.70	1147.00
20170210	45281.60	-480.59	-1.05019	47545.68	43017.52	45734.41	44828.79	1224.83	1150.00
20170213	45588.10	306.50	0.67688	47867.50	43308.70	46043.98	45132.22	1230.98	1152.00
20170216	45453.22	443.69	0.98577	47725.88	43180.56	45907.75	44998.69	1239.17	1141.00
20170222	45479.95	25.26	0.05557	47753.94	43205.96	45934.74	45025.16	1236.65	1144.00
20170228	45503.76	-260.50	-0.56922	47778.94	43228.58	45958.79	45048.73	1252.07	1130.50
20170303	45666.19	-111.20	-0.24291	47949.49	43382.89	46122.85	45209.53	1226.70	1158.00
20170306	45939.37	273.18	0.59821	48236.33	43642.41	46398.76	45479.98	1234.04	1158.00
20170309	44907.89	61.11	0.13626	47153.28	42662.50	45356.96	44458.82	1204.25	1160.00
20170315	44291.23	-217.34	-0.48831	46505.79	42076.67	44734.14	43848.32	1203.80	1144.50
20170321	44394.40	30.52	0.06879	46614.12	42174.68	44838.34	43950.46	1231.90	1121.00
20170324	44884.51	-199.52	-0.44255	47128.73	42640.29	45333.35	44435.67	1243.28	1123.00
20170327	44965.92	81.41	0.18138	47214.21	42717.63	45415.57	44516.27	1257.29	1112.50
20170330	44933.78	33.58	0.07479	47180.46	42687.10	45383.11	44484.45	1250.77	1117.50
20170405	45464.98	-13.74	-0.03021	47738.22	43191.74	45919.62	45010.34	1254.89	1127.00
20170411	46332.70	292.28	0.63483	48649.33	44016.07	46796.02	45869.38	1257.09	1146.50
20170414	47239.74	475.38	1.01654	49601.72	44877.76	47712.13	46767.35	1286.75	1142.00
20170417	47152.79	-86.95	-0.18406	49510.42	44795.16	47624.31	46681.27	1289.46	1137.50
20170420	46863.87	-193.37	-0.41093	49207.06	44520.68	47332.50	46395.24	1279.31	1139.50
20170426	45974.39	-44.18	-0.09600	48273.10	43675.68	46434.13	45514.65	1265.58	1130.00
20170504	45067.67	-575.76	-1.26143	47321.05	42814.29	45518.34	44617.00	1235.70	1134.50
20170510	44690.48	-155.31	-0.34632	46925.00	42455.96	45137.38	44243.58	1223.20	1136.50
20170516	44347.43	-86.77	-0.19528	46564.80	42130.06	44790.90	43903.96	1234.45	1117.50
20170519	45224.78	-332.08	-0.72894	47486.01	42963.55	45677.02	44772.54	1250.48	1125.00
20170522	45180.78	-44.00	-0.09729	47439.81	42921.75	45632.58	44728.98	1255.40	1119.50
20170525	45285.97	-17.74	-0.03916	47550.26	43021.68	45738.82	44833.12	1257.76	1120.00
20170531	45492.61	-268.71	-0.58720	47767.24	43217.98	45947.53	45037.69	1263.50	1120.00
20170609	46077.86	-344.26	-0.74159	48381.75	43773.97	46538.63	45617.09	1273.50	1125.50
20170612	46156.39	78.53	0.17043	48464.20	43848.58	46617.95	45694.83	1270.03	1130.50
20170615	45742.11	-109.71	-0.23927	48029.21	43455.01	46199.53	45284.69	1261.98	1127.50
20170621	45887.13	265.17	0.58123	48181.48	43592.78	46346.00	45428.26	1246.63	1145.00
20170627	45720.03	302.34	0.66569	48006.03	43434.03	46177.23	45262.83	1251.38	1136.50
20170630	45852.72	132.01	0.28873	48145.35	43560.09	46311.24	45394.20	1244.61	1146.00
20170705	45402.36	79.68	0.17581	47672.47	43132.25	45856.38	44948.34	1222.78	1155.00
20170711	44799.45	69.82	0.15609	47039.42	42559.48	45247.44	44351.46	1210.21	1151.50
20170714	44502.86	-188.33	-0.42140	46728.00	42277.72	44947.88	44057.84	1219.14	1135.50
20170717	44660.42	157.56	0.35404	46893.44	42427.40	45107.02	44213.82	1230.50	1129.00
20170720	44860.35	113.70	0.25410	47103.36	42617.34	45308.95	44411.75	1238.20	1127.00
20170726	44898.47	-101.66	-0.22591	47143.39	42653.55	45347.45	44449.49	1245.33	1121.50
20170801	45783.97	137.71	0.30169	48073.16	43494.78	46241.80	45326.14	1268.76	1122.50
20170804	45945.87	177.95	0.38881	48243.16	43648.58	46405.32	45486.42	1269.29	1126.00
20170807	45668.05	-277.82	-0.60467	47951.45	43384.65	46124.73	45211.37	1258.26	1129.00
20170810	46995.22	507.39	1.09145	49344.98	44645.46	47465.17	46525.27	1278.41	1143.50
20170816	46666.21	-379.74	-0.80717	48999.52	44332.90	47132.87	46199.55	1270.57	1142.50
20170822	46920.90	-274.64	-0.58192	49266.94	44574.86	47390.10	46451.70	1285.38	1135.50
20170825	46670.04	-5.87	-0.01258	49003.54	44336.54	47136.74	46203.34	1287.58	1127.50
20170828	46778.99	108.95	0.23345	49117.93	44440.05	47246.77	46311.21	1296.91	1122.00
20170831	47375.75	25.68	0.05423	49744.53	45006.97	47849.50	46902.00	1307.05	1127.50
20170906	48912.87	454.55	0.93802	51358.51	46467.23	49401.99	48423.75	1339.36	1136.00
20170912	48130.30	-544.45	-1.11855	50536.81	45723.79	48611.60	47649.00	1326.69	1128.50
20170915	48280.58	66.02	0.13693	50694.60	45866.56	48763.38	47797.78	1327.89	1131.00
20170918	47610.94	-669.64	-1.38698	49991.48	45230.40	48087.04	47134.84	1311.79	1129.00
20170921	47301.96	-392.63	-0.82322	49667.05	44936.87	47774.97	46828.95	1296.96	1134.50
20170927	47418.46	-350.91	-0.73459	49789.38	45047.54	47892.64	46944.28	1289.36	1144.00
20171011	47113.90	25.64	0.05445	49469.59	44758.21	47585.03	46642.77	1290.10	1136.00
20171017	46948.35	-331.66	-0.70148	49295.76	44600.94	47417.83	46478.87	1289.54	1132.50
20171020	46673.71	-116.24	-0.24843	49007.39	44340.03	47140.44	46206.98	1281.43	1133.00
20171023	46379.51	-294.20	-0.63033	48698.48	44060.54	46843.30	45915.72	1275.04	1131.50
20171026	46302.23	157.41	0.34112	48617.34	43987.12	46765.25	45839.21	1278.00	1127.00
20171101	45727.49	-182.84	-0.39825	48013.86	43441.12	46184.76	45270.22	1275.72	1115.00
20171107	45717.67	175.08	0.38443	48003.55	43431.79	46174.84	45260.50	1276.59	1114.00
20171110	46198.97	68.57	0.14864	48508.91	43889.03	46660.95	45736.99	1283.69	1119.50
20171113	46045.65	-153.32	-0.33187	48347.93	43743.37	46506.10	45585.20	1277.15	1121.50
20171116	45157.56	-741.13	-1.61471	47415.43	42899.69	45609.13	44705.99	1277.58	1099.50
20171122	45010.62	27.22	0.06051	47261.15	42760.09	45460.72	44560.52	1285.11	1089.50
20171128	44977.01	-248.94	-0.55044	47225.86	42728.16	45426.78	44527.24	1293.05	1082.00
20171206	44621.56	14.21	0.03186	46852.63	42390.49	45067.77	44175.35	1268.18	1094.50
20171212	43692.46	-202.01	-0.46022	45877.08	41507.84	44129.38	43255.54	1244.05	1092.50
20171215	44061.22	96.61	0.21974	46264.28	41858.16	44501.83	43620.61	1256.85	1090.50
20171218	43972.17	-89.05	-0.20211	46170.77	41773.57	44411.89	43532.45	1257.19	1088.00
20171221	44046.48	7.84	0.01780	46248.80	41844.16	44486.94	43606.02	1265.13	1083.00
20171227	44432.98	214.98	0.48618	46654.62	42211.34	44877.30	43988.66	1285.73	1075.00
20180104	44860.16	-163.61	-0.36339	47103.16	42617.16	45308.76	44411.56	1311.51	1064.00
20180110	45217.67	-19.41	-0.04291	47478.55	42956.79	45669.84	44765.50	1314.55	1070.00
20180116	45808.51	-65.85	-0.14354	48098.93	43518.09	46266.59	45350.43	1337.35	1065.50
20180119	45873.00	109.32	0.23888	48166.65	43579.35	46331.73	45414.27	1337.35	1067.00
20180122	45866.97	-6.03	-0.01314	48160.31	43573.63	46325.63	45408.31	1332.18	1071.00
20180125	46433.69	154.39	0.33360	48755.37	44112.01	46898.02	45969.36	1358.15	1063.50
20180131	46075.34	-137.59	-0.29773	48379.10	43771.58	46536.09	45614.59	1341.99	1068.00
20180206	46884.64	58.70	0.12536	49228.87	44540.41	47353.48	46415.80	1340.46	1088.00
20180209	46015.37	103.19	0.22476	48316.13	43714.61	46475.52	45555.22	1314.40	1089.00
20180212	46148.38	133.01	0.28906	48455.79	43840.97	46609.86	45686.90	1321.84	1086.00
20180221	45944.93	-266.09	-0.57582	48242.17	43647.69	46404.37	45485.49	1328.86	1075.50
20180227	45983.97	-207.12	-0.44840	48283.16	43684.78	46443.80	45524.14	1333.71	1072.50
20180302	45719.42	-175.04	-0.38140	48005.39	43433.45	46176.61	45262.23	1317.44	1079.50
20180305	46130.10	410.68	0.89826	48436.60	43823.60	46591.40	45668.80	1326.20	1082.00
20180308	45741.27	-22.37	-0.04888	48028.33	43454.21	46198.68	45283.86	1326.67	1072.50
20180314	45332.58	127.06	0.28107	47599.20	43065.96	45785.90	44879.26	1324.70	1064.50
20180320	45258.06	42.59	0.09419	47520.96	42995.16	45710.64	44805.48	1315.11	1070.50
20180323	46567.66	585.04	1.27231	48896.04	44239.28	47033.33	46101.99	1341.26	1080.00
20180326	46772.04	204.38	0.43889	49110.64	44433.44	47239.76	46304.32	1347.77	1079.50
20180329	45410.29	-786.55	-1.70261	47680.80	43139.78	45864.39	44956.19	1324.48	1066.50
20180404	45865.05	453.62	0.99891	48158.30	43571.80	46323.70	45406.40	1342.15	1063.00
20180410	45863.64	142.00	0.31058	48156.82	43570.46	46322.27	45405.01	1336.45	1067.50
20180413	46160.82	-233.84	-0.50402	48468.86	43852.78	46622.42	45699.22	1341.34	1070.50
20180416	46439.44	278.62	0.60359	48761.41	44117.47	46903.83	45975.05	1345.04	1074.00
20180419	46168.43	36.47	0.07906	48476.85	43860.01	46630.11	45706.75	1352.30	1062.00
20180425	46070.49	117.38	0.25543	48374.01	43766.97	46531.19	45609.79	1325.10	1081.50
20180503	45318.77	-42.75	-0.09424	47584.70	43052.84	45771.95	44865.59	1310.75	1075.50
20180509	45405.57	-78.30	-0.17215	47675.84	43135.30	45859.62	44951.52	1306.58	1081.00
20180515	45240.32	-138.98	-0.30626	47502.33	42978.31	45692.72	44787.92	1309.70	1074.50
20180518	44729.08	-31.89	-0.07125	46965.53	42492.63	45176.37	44281.79	1288.90	1079.50
20180521	44833.21	104.13	0.23280	47074.87	42591.55	45281.54	44384.88	1284.76	1085.50
20180524	44966.33	-12.30	-0.02735	47214.64	42718.02	45415.99	44516.67	1296.94	1078.50
20180530	45115.41	-158.95	-0.35108	47371.18	42859.64	45566.56	44664.26	1298.83	1080.50
20180605	44511.83	17.81	0.04003	46737.42	42286.24	44956.94	44066.72	1292.82	1071.00
20180608	44979.70	326.46	0.73110	47228.68	42730.72	45429.49	44529.91	1298.53	1077.50
20180611	44843.05	-136.65	-0.30380	47085.20	42600.90	45291.48	44394.62	1296.39	1076.00
20180614	45347.44	428.43	0.95378	47614.81	43080.07	45800.91	44893.97	1303.10	1082.50
20180620	45283.83	-637.90	-1.38910	47548.02	43019.64	45736.66	44831.00	1272.47	1107.00
20180626	45200.83	-436.94	-0.95741	47460.87	42940.79	45652.83	44748.83	1259.33	1116.50
20180629	44821.74	-379.19	-0.83890	47062.82	42580.66	45269.95	44373.53	1251.01	1114.50
